genotype,shocked,trackid,learningscore
dgrp109,true,16,0.050467224421723494
dgrp109,true,25,0.00883869332589135
dgrp109,true,26,0.0008442166210395341
dgrp109,true,27,0.0007037974696595672
dgrp109,true,28,0.0686854064667802
dgrp109,true,29,0.006742200515333474
dgrp109,true,30,0.027755826631663955
dgrp109,true,31,0.036587018319964776
dgrp109,true,32,0.047737379513870665
dgrp109,true,9,0.007982684757063818
dgrp129,false,33,0.006071347038090591
dgrp129,false,34,0.030196691917593638
dgrp129,false,35,0.05211211227778004
dgrp129,false,36,0.03651642443763198
dgrp129,false,37,0.02797022210401326
dgrp129,false,38,0.027612629878686318
dgrp129,false,39,0.020004992272527444
dgrp129,false,40,0.041761681148712815
dgrp129,false,49,0.09781052338235108
dgrp129,false,50,0.014433129957005075
dgrp129,false,51,0.06463493357772065
dgrp129,false,52,0.012338830519678462
dgrp129,false,53,0.04523268011895684
dgrp129,false,54,0.028109770237379483
dgrp129,false,55,0.02299062195755186
dgrp129,false,56,0.025091388204869086
dgrp129,false,42,0.010664174582015407
dgrp129,false,43,0.037025231517809815
dgrp129,false,44,0.028501367695787705
dgrp129,false,45,0.009158127696322876
dgrp129,false,46,0.004822447586863066
dgrp129,false,47,0.005685219399136715
dgrp129,false,48,0.01968153311762305
dgrp129,false,57,0.024355533822024766
dgrp129,false,58,0.012099852651928839
dgrp129,false,59,0.030766324611144064
dgrp129,false,61,0.03096777520945529
dgrp129,false,62,0.01807558412698232
dgrp129,false,63,0.004149881804524691
dgrp129,false,64,0.0011476621026960676
dgrp129,true,1,0.016252905445089755
dgrp129,true,17,0.0015763564557116638
dgrp129,true,18,0.017089290495119036
dgrp129,true,19,0.008130064705065138
dgrp129,true,2,0.010028526441211383
dgrp129,true,20,0.0025741715855696345
dgrp129,true,21,0.010042408694514338
dgrp129,true,22,0.015520909862450555
dgrp129,true,23,0.03370123876372269
dgrp129,true,24,0.025692705134019195
dgrp129,true,3,0.01745163892090787
dgrp129,true,4,0.0027208084069161864
dgrp129,true,5,0.0463481875356723
dgrp129,true,6,0.007261941389379661
dgrp129,true,7,0.02057056145507541
dgrp129,true,8,0.02496060412145437
dgrp129,true,10,0.011903941100820853
