genotype,shocked,trackid,new_learningscore
dgrp195,false,58,-0.17505692081766094
dgrp195,false,59,-0.20966283975294123
dgrp195,false,61,-0.38745420454840074
dgrp195,false,62,-0.12162723217649939
dgrp195,false,63,-0.03636363636363636
dgrp195,false,64,0.050788980599459826
dgrp195,true,1,0.17377257618983302
dgrp195,true,2,-0.010040928091264528
dgrp195,true,3,-0.05607137374084202
dgrp195,true,34,0.3595739603703406
dgrp195,true,35,0.4720619144106345
dgrp195,true,36,-0.5329638296942714
dgrp195,true,37,-0.6223715801092176
dgrp195,true,38,-0.1803853430900086
dgrp195,true,39,-0.38265965283801606
dgrp195,true,4,0.5135817079046842
dgrp195,true,40,-0.7632873070639992
dgrp195,true,5,0.13839981229538187
dgrp195,true,6,0.021006720031141526
dgrp195,true,7,-0.357625861415219
dgrp195,true,8,-0.49413791749376923
dgrp195,true,10,-0.059323543803798215
dgrp195,true,11,0.5804036045276033
dgrp195,true,12,0.5938343483196818
dgrp195,true,13,0.670527191625726
dgrp195,true,14,0.6198313563118498
dgrp195,true,15,-0.6717357246891436
dgrp195,true,16,0.12446381675675926
dgrp195,true,42,-0.46991836221130473
dgrp195,true,43,0.1886328884450831
dgrp195,true,44,-0.515692014678914
dgrp195,true,45,-0.6152691564812914
dgrp195,true,46,-0.43110557816749473
dgrp195,true,47,0.21455109172371895
dgrp195,true,48,-0.07233075016424205
dgrp195,true,9,0.2058771625725977
dgrp228,false,17,-0.028404587739069023
dgrp228,false,18,0.022715617025890422
dgrp228,false,19,0.5181840188228162
dgrp228,false,20,0.5634307066068561
dgrp228,false,21,-0.05591400742502739
dgrp228,false,22,0.12583988854455402
dgrp228,false,23,-0.2468671165333728
dgrp228,false,24,0.018044453932500308
dgrp228,false,49,-0.2601476054109233
dgrp228,false,50,0.27309035818511856
dgrp228,false,51,0.25584831439541245
dgrp228,false,52,0.34787682166645295
dgrp228,false,53,0.10222419926369042
dgrp228,false,54,0.1441569233488434
dgrp228,false,55,0.08830422229107311
dgrp228,false,56,0.2864609547059315
dgrp228,false,25,-0.2882240126597665
dgrp228,false,26,0.03561912614213722
dgrp228,false,27,-0.2618907780493209
dgrp228,false,28,0.13347298158635096
dgrp228,false,29,-0.38595334568978745
dgrp228,false,30,0.221619872210556
dgrp228,false,31,-0.0485222610502447
dgrp228,false,32,0.18574223366779768
dgrp228,false,57,0.6321379097959869
dgrp228,false,58,0.36261699544951453
dgrp228,false,59,0.006938358034456846
dgrp228,false,60,-0.1515184524766484
dgrp228,false,61,0.03364915476485093
dgrp228,false,62,0.784394426762838
dgrp228,false,63,-0.4246316411045665
dgrp228,false,64,0.01901585431498025
dgrp228,true,1,0.3430067057980173
dgrp228,true,2,0.5640358536897829
dgrp228,true,3,0.0291284241985231
dgrp228,true,33,0.6016394177695986
dgrp228,true,34,0.49010685056304737
dgrp228,true,35,-0.513437179649226
dgrp228,true,36,-0.07373566733190126
dgrp228,true,37,-0.3643221266791858
dgrp228,true,38,0.18912409719104445
dgrp228,true,39,0.3673989241788358
dgrp228,true,4,0.8397531041453332
dgrp228,true,40,0.08621531845744458
dgrp228,true,5,-0.09103900876608467
dgrp228,true,6,-0.16363636363636364
dgrp228,true,7,-0.20439517254276948
dgrp228,true,8,-0.041849684199175216
dgrp228,true,10,0.34353629060179186
dgrp228,true,11,0.2764989412092754
dgrp228,true,12,-0.0544527838639921
dgrp228,true,13,0.2933597327180443
dgrp228,true,14,-0.2163731055002026
dgrp228,true,15,-0.21537392478702505
dgrp228,true,16,0.3244096358696634
dgrp228,true,41,0.12064042507148712
dgrp228,true,42,0.10361619250442443
dgrp228,true,43,0.5087856922230628
dgrp228,true,44,-0.1742822265351859
dgrp228,true,45,-0.020898481816813252
dgrp228,true,46,0.060454046012738794
dgrp228,true,47,0.240008391707217
dgrp228,true,48,-0.06374425609276993
dgrp228,true,9,0.1067183854791301
dgrp595,false,17,0.4096074916243575
dgrp595,false,18,0.1692977843407628
dgrp595,false,19,0.19448365053713423
dgrp595,false,20,-0.36243156011613803
dgrp595,false,21,-0.4676119076175837
dgrp595,false,22,-0.11572607337658235
dgrp595,false,23,-0.22667820570104125
dgrp595,false,24,-0.6190212647986718
dgrp595,false,49,0.2539842660645113
dgrp595,false,50,-0.6871281836124612
dgrp595,false,51,0.39521824934357574
dgrp595,false,52,-0.02063859962450676
dgrp595,false,53,-0.1583229573116383
dgrp595,false,54,-0.10286349580367063
dgrp595,false,55,-0.3169110831395373
dgrp595,false,56,0.05454545454545455
dgrp595,false,25,0.18585395227021181
dgrp595,false,26,0.24848484848484848
dgrp595,false,27,0.7052622353481923
dgrp595,false,28,-0.3762280348505377
dgrp595,false,29,0.4519599707861713
dgrp595,false,30,-0.32090083004259995
dgrp595,false,31,-0.36513762867605537
dgrp595,false,57,-0.00890641532896324
dgrp595,false,58,0.682832897508884
dgrp595,false,59,0.43377611836200336
dgrp595,false,60,0.1680138022060748
dgrp595,false,61,-0.5960341177346584
dgrp595,false,62,0.15515428395987585
dgrp595,false,63,0.18777884068580697
dgrp595,false,64,-0.5675337873478121
dgrp595,true,1,0.4961737659876761
dgrp595,true,2,-0.00014963970004987226
dgrp595,true,3,-0.35429080945636626
dgrp595,true,33,-0.05578006920352961
dgrp595,true,34,0.7252386905569319
dgrp595,true,35,0.4148523293951357
dgrp595,true,36,0.17989273962918134
dgrp595,true,37,-0.2851528995556955
dgrp595,true,38,-0.33050155385740565
dgrp595,true,39,0.3150387475363692
dgrp595,true,4,-0.060615285294157904
dgrp595,true,40,-0.006060606060606072
dgrp595,true,5,-0.2909090909090909
dgrp595,true,6,-0.5950186824467771
dgrp595,true,7,0.15133447346660522
dgrp595,true,8,0.2855769213526049
dgrp595,true,10,-0.006079055436800637
dgrp595,true,11,0.6994391558194277
dgrp595,true,12,0.3291807681079342
dgrp595,true,13,0.17122641386865944
dgrp595,true,14,0.14223974866229658
dgrp595,true,15,0.23738301385972332
dgrp595,true,16,-0.25559366930632416
dgrp595,true,41,0.38218126727602764
dgrp595,true,42,-0.30758777471579096
dgrp595,true,43,0.16969696969696968
