"treatment","genotype","emmean","SE","df","lower.CL","upper.CL"
"77","noShock","dgrp437",0.288072531327023,0.0200251688454418,344.324429239395,0.24868547742097,0.327459585233076
"78","shock","dgrp437",0.28693880667295,0.0199854568698967,341.873958046137,0.247628867537796,0.326248745808104
"79","noShock","dgrp440",0.298454629569408,0.0203074454393306,365.770308344606,0.258520630698569,0.338388628440248
"80","shock","dgrp440",0.223763831100759,0.0199954251486576,342.31565906709,0.184434465369025,0.263093196832492
"81","noShock","dgrp486",0.278210352288984,0.02034276480949,361.870921446534,0.23820546787184,0.318215236706128
"82","shock","dgrp486",0.155427352206962,0.0200056806623259,343.171045469705,0.116078162702704,0.19477654171122
"83","noShock","dgrp491",0.260034914008774,0.0199041470704246,350.456228552315,0.220888310962611,0.299181517054938
"84","shock","dgrp491",0.226193775007628,0.0198983807896216,352.922961372953,0.187059460659458,0.265328089355798
"85","noShock","dgrp502",0.264302417082742,0.0199078600362663,353.638281731602,0.225149732326323,0.30345510183916
"86","shock","dgrp502",0.256411258534117,0.0198654986228944,350.647794466459,0.217340741523683,0.295481775544551
"87","noShock","dgrp505",0.278823155466862,0.0208892588442396,424.667998947043,0.237763941710176,0.319882369223548
"88","shock","dgrp505",0.267499408494245,0.019859679906273,350.322037360109,0.228440209669883,0.306558607318607
"89","noShock","dgrp517",0.272173624593558,0.0213713064516734,445.782637707346,0.230172600213125,0.314174648973991
"90","shock","dgrp517",0.263322728104403,0.020307091651018,365.911354769093,0.223389476047373,0.303255980161434
"91","noShock","dgrp535",0.298536196874612,0.0198925322095759,352.35409988801,0.259413167641441,0.337659226107783
"92","shock","dgrp535",0.185949901400185,0.0201913794346412,372.639974760361,0.1462465727304,0.225653230069969
"93","noShock","dgrp551",0.258307251698827,0.0200237231878983,347.039968992299,0.218924128172795,0.29769037522486
"94","shock","dgrp551",0.308768846451554,0.0200087498344482,343.353684792257,0.269413694276536,0.348123998626572
"95","noShock","dgrp559",0.280380204500425,0.020004793577404,343.076254970264,0.241032721329518,0.319727687671331
"96","shock","dgrp559",0.336394591059151,0.019988423678148,342.021288394427,0.297078876592496,0.375710305525807
"97","noShock","dgrp563",0.27143676598887,0.0200057390879163,304.172068404224,0.232069598815689,0.310803933162051
"98","shock","dgrp563",0.196431311885309,0.0204305688019901,265.951843696529,0.156205075587129,0.23665754818349
"99","noShock","dgrp584",0.265579980932116,0.0199937081682828,345.201404512487,0.226255158697722,0.304904803166509
"100","shock","dgrp584",0.249127253628583,0.0203049678690745,365.707827879717,0.209198104181167,0.289056403075999
"101","noShock","dgrp59",0.314298985452333,0.0200350608412061,347.830657671091,0.274893876231644,0.353704094673022
"102","shock","dgrp59",0.191233811010655,0.019982344795745,341.696668805444,0.151929920653343,0.230537701367967
"103","noShock","dgrp595",0.295453633303803,0.0200001973930641,345.570533555675,0.256116195503122,0.334791071104484
"104","shock","dgrp595",0.244990975868061,0.0200417749349468,348.285513473141,0.205572841055705,0.284409110680418
